
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.036252448   0.98674697    0.05060453
0.036374923   0.98670024    0.050922054
0.036497397   0.98665349    0.051240427
0.036619872   0.98660671    0.051559647
0.036742346   0.9865599    0.051879713
0.036864821   0.98651307    0.052200622
0.036987295   0.98646622    0.052522373
0.03710977   0.98641934    0.052844962
0.037232244   0.98637243    0.053168389
0.037354719   0.98632549    0.05349265
0.037477193   0.98627853    0.053817745
0.037599668   0.98623155    0.05414367
0.037722142   0.98618453    0.054470424
0.037844617   0.98613749    0.054798005
0.037967091   0.98609042    0.055126411
0.038089566   0.98604333    0.055455639
0.03821204   0.98599621    0.055785688
0.038334514   0.98594906    0.056116555
0.038456989   0.98590189    0.056448239
0.038579463   0.98585469    0.056780737
0.038701938   0.98580746    0.057114046
0.038824412   0.9857602    0.057448166
0.038946887   0.98571291    0.057783094
0.039069361   0.9856656    0.058118827
0.039191836   0.98561826    0.058455364
0.03931431   0.98557089    0.058792703
0.039436785   0.98552349    0.059130841
0.039559259   0.98547607    0.059469776
0.039681734   0.98542861    0.059809507
0.039804208   0.98538113    0.06015003
0.039926683   0.98533362    0.060491344
0.040049157   0.98528607    0.060833447
0.040171632   0.98523851    0.061176336
0.040294106   0.98519091    0.06152001
0.040416581   0.98514328    0.061864466
0.040539055   0.98509562    0.062209702
0.04066153   0.98504793    0.062555716
0.040784004   0.98500022    0.062902506
0.040906479   0.98495247    0.063250069
0.041028953   0.98490469    0.063598403
0.041151428   0.98485689    0.063947507
0.041273902   0.98480905    0.064297378
0.041396377   0.98476119    0.064648013
0.041518851   0.98471329    0.064999411
0.041641326   0.98466536    0.06535157
0.0417638   0.9846174    0.065704487
0.041886275   0.98456942    0.066058159
0.042008749   0.9845214    0.066412586
0.042131224   0.98447335    0.066767764
0.042253698   0.98442527    0.067123692
0.042376173   0.98437715    0.067480366
0.042498647   0.98432901    0.067837786
0.042621122   0.98428083    0.068195948
0.042743596   0.98423263    0.068554851
0.04286607   0.98418439    0.068914492
0.042988545   0.98413612    0.069274869
0.043111019   0.98408782    0.06963598
0.043233494   0.98403948    0.069997822
0.043355968   0.98399112    0.070360394
0.043478443   0.98394272    0.070723693
0.043600917   0.98389429    0.071087716
0.043723392   0.98384583    0.071452462
0.043845866   0.98379733    0.071817929
0.043968341   0.98374881    0.072184113
0.044090815   0.98370024    0.072551013
0.04421329   0.98365165    0.072918627
0.044335764   0.98360303    0.073286952
0.044458239   0.98355437    0.073655985
0.044580713   0.98350567    0.074025726
0.044703188   0.98345695    0.074396171
0.044825662   0.98340819    0.074767318
0.044948137   0.98335939    0.075139165
0.045070611   0.98331057    0.075511709
0.045193086   0.98326171    0.075884948
0.04531556   0.98321281    0.076258881
0.045438035   0.98316389    0.076633504
0.045560509   0.98311492    0.077008816
0.045682984   0.98306593    0.077384813
0.045805458   0.9830169    0.077761495
0.045927933   0.98296783    0.078138857
0.046050407   0.98291873    0.078516899
0.046172882   0.9828696    0.078895618
0.046295356   0.98282043    0.079275011
0.046417831   0.98277122    0.079655077
0.046540305   0.98272199    0.080035812
0.04666278   0.98267271    0.080417214
0.046785254   0.9826234    0.080799282
0.046907729   0.98257406    0.081182013
0.047030203   0.98252468    0.081565404
0.047152678   0.98247527    0.081949454
0.047275152   0.98242581    0.082334159
0.047397627   0.98237633    0.082719518
0.047520101   0.98232681    0.083105528
0.047642575   0.98227725    0.083492187
0.04776505   0.98222766    0.083879492
0.047887524   0.98217803    0.084267442
0.048009999   0.98212836    0.084656033
0.048132473   0.98207866    0.085045264
0.048254948   0.98202892    0.085435131
0.048377422   0.98197915    0.085825634
0.048499897   0.98192934    0.086216768
0.048622371   0.98187949    0.086608533
0.048744846   0.9818296    0.087000925
0.04886732   0.98177968    0.087393942
0.048989795   0.98172973    0.087787582
0.049112269   0.98167973    0.088181843
0.049234744   0.9816297    0.088576722
0.049357218   0.98157963    0.088972216
0.049479693   0.98152952    0.089368324
0.049602167   0.98147938    0.089765043
0.049724642   0.9814292    0.09016237
0.049847116   0.98137898    0.090560303
0.049969591   0.98132872    0.090958841
0.050092065   0.98127843    0.091357979
0.05021454   0.9812281    0.091757717
0.050337014   0.98117773    0.092158051
0.050459489   0.98112732    0.092558979
0.050581963   0.98107687    0.092960499
0.050704438   0.98102639    0.093362608
0.050826912   0.98097587    0.093765304
0.050949387   0.98092531    0.094168585
0.051071861   0.98087471    0.094572448
0.051194336   0.98082407    0.094976891
0.05131681   0.9807734    0.095381911
0.051439285   0.98072268    0.095787506
0.051561759   0.98067193    0.096193673
0.051684234   0.98062114    0.09660041
0.051806708   0.98057031    0.097007716
0.051929183   0.98051944    0.097415586
0.052051657   0.98046853    0.097824019
0.052174132   0.98041758    0.098233012
0.052296606   0.98036659    0.098642563
0.05241908   0.98031556    0.09905267
0.052541555   0.9802645    0.09946333
0.052664029   0.98021339    0.09987454
0.052786504   0.98016225    0.1002863
0.052908978   0.98011106    0.1006986
0.053031453   0.98005984    0.10111145
0.053153927   0.98000858    0.10152484
0.053276402   0.97995727    0.10193877
0.053398876   0.97990593    0.10235323
0.053521351   0.97985454    0.10276823
0.053643825   0.97980312    0.10318375
0.0537663   0.97975166    0.10359981
0.053888774   0.97970015    0.10401639
0.054011249   0.97964861    0.1044335
0.054133723   0.97959702    0.10485112
0.054256198   0.9795454    0.10526927
0.054378672   0.97949373    0.10568793
0.054501147   0.97944203    0.10610711
0.054623621   0.97939028    0.1065268
0.054746096   0.97933849    0.10694699
0.05486857   0.97928667    0.1073677
0.054991045   0.9792348    0.1077889
0.055113519   0.97918289    0.10821061
0.055235994   0.97913094    0.10863282
