
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1.0000093
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.029761339   0.98919117    0.035042845
0.029883815   0.9891451    0.035312567
0.030006289   0.98909944    0.035583235
0.030128764   0.9890542    0.035854861
0.030251238   0.98900813    0.036127433
0.030373713   0.98896259    0.036400937
0.030496188   0.98891699    0.036675386
0.030618662   0.98887169    0.036950789
0.030741135   0.98882514    0.037227131
0.030863609   0.98877996    0.037504401
0.030986082   0.98873395    0.037782602
0.031108554   0.98868805    0.038061753
0.031231027   0.98864257    0.038341835
0.0313535   0.98859686    0.038622845
0.031475972   0.98855072    0.038904771
0.031598445   0.98850542    0.039187633
0.031720918   0.98845941    0.039471414
0.03184339   0.98841369    0.039756123
0.031965863   0.98836738    0.04004176
0.032088339   0.98832124    0.040328305
0.032210812   0.98827589    0.040615782
0.032333285   0.98822999    0.040904164
0.032455757   0.98818374    0.041193467
0.03257823   0.98813802    0.041483667
0.032700703   0.98809201    0.041774787
0.032823175   0.98804539    0.04206682
0.032945648   0.98799956    0.042359754
0.03306812   0.98795336    0.04265359
0.033190593   0.98790723    0.042948335
0.033313066   0.98786139    0.043243974
0.033435538   0.98781508    0.043540515
0.033558011   0.98776883    0.043837953
0.033680484   0.9877224    0.044136297
0.03380296   0.98767626    0.04443552
0.033925433   0.98762983    0.044735629
0.034047905   0.9875837    0.045036633
0.034170378   0.98753762    0.045338526
0.034292851   0.98749119    0.045641307
0.034415323   0.98744512    0.045944966
0.034537796   0.98739827    0.04624952
0.034660269   0.98735219    0.046554931
0.034782741   0.98730552    0.046861228
0.034905214   0.98725933    0.047168408
0.035027687   0.98721266    0.047476452
0.035150159   0.98716611    0.047785379
0.035272632   0.98712003    0.048095163
0.035395104   0.98707318    0.048405815
0.035517581   0.98702663    0.048717339
0.035640053   0.98698032    0.04902973
0.035762526   0.98693371    0.049342975
0.035884999   0.98688692    0.049657084
0.036007471   0.98684025    0.049972042
0.036129944   0.9867937    0.050287861
0.036252417   0.98674679    0.050604519
0.036374889   0.98669988    0.050922059
0.036497362   0.98665321    0.051240429
0.036619835   0.98660666    0.051559649
0.036742307   0.98655951    0.051879711
0.03686478   0.98651338    0.052200623
0.036987253   0.98646617    0.052522372
0.037109725   0.98641956    0.052844964
0.037232202   0.98637182    0.053168397
0.037354674   0.98632538    0.05349265
0.037477147   0.98627806    0.053817749
0.037599619   0.98623192    0.054143678
0.037722092   0.9861846    0.054470431
0.037844565   0.98613727    0.054798011
0.037967037   0.98609036    0.05512641
0.03808951   0.98604357    0.055455644
0.038211983   0.98599613    0.055785682
0.038334455   0.98594898    0.056116555
0.038456928   0.98590201    0.056448247
0.038579401   0.98585492    0.056780737
0.038701873   0.98580742    0.057114039
0.03882435   0.98575991    0.05744816
0.038946822   0.98571283    0.057783086
0.039069295   0.9856655    0.058118831
0.039191768   0.98561811    0.05845537
0.03931424   0.98557127    0.058792707
0.039436713   0.98552358    0.059130844
0.039559186   0.98547578    0.059469778
0.039681658   0.98542821    0.059809498
0.039804131   0.98538136    0.060150024
0.039926603   0.98533362    0.06049135
0.040049076   0.985286    0.060833439
0.040171549   0.98523873    0.061176341
0.040294021   0.98519087    0.061520021
0.040416494   0.98514354    0.061864465
0.04053897   0.98509556    0.062209703
0.040661443   0.98504817    0.062555715
0.040783916   0.98500013    0.06290251
0.040906388   0.98495245    0.063250065
0.041028861   0.98490465    0.063598409
0.041151334   0.98485607    0.063947506
0.041273806   0.98480868    0.064297371
0.041396279   0.98476124    0.064648025
0.041518752   0.98471338    0.064999409
0.041641224   0.98466522    0.065351576
0.041763697   0.98461723    0.065704502
0.041886169   0.98456907    0.066058166
0.042008642   0.98452121    0.066412598
0.042131115   0.98447329    0.066767767
0.042253591   0.98442489    0.067123689
0.042376064   0.98437715    0.067480348
0.042498536   0.98432893    0.067837805
0.042621009   0.98428088    0.068195947
0.042743482   0.98423296    0.068554848
0.042865954   0.98418432    0.068914503
0.042988427   0.9841361    0.069274873
0.0431109   0.98408788    0.069635972
0.043233372   0.98403949    0.069997825
0.043355845   0.98399186    0.0703604
0.043478318   0.98394251    0.07072369
0.04360079   0.98389435    0.071087733
0.043723263   0.98384535    0.071452476
0.043845735   0.98379689    0.071817942
0.043968212   0.98374844    0.072184116
0.044090685   0.98370028    0.072551019
0.044213157   0.98365182    0.072918601
0.04433563   0.98360282    0.073286943
0.044458102   0.9835543    0.073655985
0.044580575   0.98350567    0.074025743
0.044703048   0.98345691    0.074396163
0.04482552   0.98340791    0.074767329
0.044947993   0.98335981    0.075139157
0.045070466   0.9833104    0.075511701
0.045192938   0.98326129    0.075884938
0.045315411   0.98321283    0.076258883
0.045437884   0.98316371    0.076633513
0.045560356   0.9831146    0.077008814
0.045682833   0.98306596    0.077384807
0.045805305   0.98301691    0.077761486
0.045927778   0.98296767    0.078138843
0.046050251   0.98291892    0.078516915
0.046172723   0.98286998    0.078895606
0.046295196   0.98282057    0.079275005
0.046417668   0.98277086    0.079655081
